zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-08-09,83.5,65.5,Sunny
90045,Los Angeles,California,2026-08-10,82.5,73.1,Sunny
90045,Los Angeles,California,2026-08-11,81.1,72.5,Sunny
10001,New York,New York,2026-08-09,95.5,73.2,Sunny
10001,New York,New York,2026-08-10,94.5,78.6,Sunny
10001,New York,New York,2026-08-11,93.3,75.6,Sunny
60601,Chicago,Illinois,2026-08-09,86.4,68.2,Sunny
60601,Chicago,Illinois,2026-08-10,84.7,69.7,Sunny
60601,Chicago,Illinois,2026-08-11,85.7,71.2,Sunny
98101,Seattle,Washington,2026-08-09,82.0,56.7,Sunny
98101,Seattle,Washington,2026-08-10,81.2,52.6,Sunny
98101,Seattle,Washington,2026-08-11,81.2,53.7,Sunny
33101,Miami,Florida,2026-08-09,89.2,79.5,Sunny
33101,Miami,Florida,2026-08-10,88.3,84.5,Patchy rain nearby
33101,Miami,Florida,2026-08-11,88.2,84.3,Sunny
77001,Houston,Texas,2026-08-09,95.0,77.9,Sunny
77001,Houston,Texas,2026-08-10,99.3,80.8,Sunny
77001,Houston,Texas,2026-08-11,100.5,80.8,Sunny
85001,Phoenix,Arizona,2026-08-09,116.1,87.6,Dust haze
85001,Phoenix,Arizona,2026-08-10,106.6,83.9,Dust haze
85001,Phoenix,Arizona,2026-08-11,102.7,84.6,Dust haze
19101,Philadelphia,Pennsylvania,2026-08-09,96.1,74.3,Sunny
19101,Philadelphia,Pennsylvania,2026-08-10,95.2,75.2,Sunny
19101,Philadelphia,Pennsylvania,2026-08-11,94.6,73.6,Sunny
78201,San Antonio,Texas,2026-08-09,100.7,79.7,Partly Cloudy
78201,San Antonio,Texas,2026-08-10,101.4,76.8,Sunny
78201,San Antonio,Texas,2026-08-11,103.1,77.2,Sunny
92101,San Diego,California,2026-08-09,84.6,67.6,Sunny
92101,San Diego,California,2026-08-10,80.4,74.1,Sunny
92101,San Diego,California,2026-08-11,80.9,74.1,Sunny
75201,Dallas,Texas,2026-08-09,105.1,77.4,Sunny
75201,Dallas,Texas,2026-08-10,104.0,82.5,Sunny
75201,Dallas,Texas,2026-08-11,105.2,83.7,Sunny
95101,San Jose,California,2026-08-09,101.0,57.4,Sunny
95101,San Jose,California,2026-08-10,97.2,62.0,Sunny
95101,San Jose,California,2026-08-11,95.7,59.0,Sunny
78701,Austin,Texas,2026-08-09,104.0,78.8,Sunny
78701,Austin,Texas,2026-08-10,103.0,76.9,Sunny
78701,Austin,Texas,2026-08-11,104.6,77.8,Sunny
30301,Atlanta,Georgia,2026-08-09,94.5,70.9,Sunny
30301,Atlanta,Georgia,2026-08-10,89.0,75.1,Sunny
30301,Atlanta,Georgia,2026-08-11,94.9,74.4,Sunny
28201,Charlotte,North Carolina,2026-08-09,95.2,71.4,Sunny
28201,Charlotte,North Carolina,2026-08-10,92.8,70.8,Sunny
28201,Charlotte,North Carolina,2026-08-11,96.0,70.2,Sunny
80201,Denver,Colorado,2026-08-09,98.7,72.3,Sunny
80201,Denver,Colorado,2026-08-10,98.3,70.8,Sunny
80201,Denver,Colorado,2026-08-11,96.8,69.5,Sunny
37201,Nashville,Tennessee,2026-08-09,95.9,69.1,Sunny
37201,Nashville,Tennessee,2026-08-10,93.2,69.9,Partly Cloudy
37201,Nashville,Tennessee,2026-08-11,94.9,74.5,Sunny
97201,Portland,Oregon,2026-08-09,87.1,58.3,Sunny
97201,Portland,Oregon,2026-08-10,84.8,55.1,Sunny
97201,Portland,Oregon,2026-08-11,86.1,56.7,Sunny
89101,Las Vegas,Nevada,2026-08-09,116.2,83.7,Sunny
89101,Las Vegas,Nevada,2026-08-10,107.7,83.7,Sunny
89101,Las Vegas,Nevada,2026-08-11,103.8,84.8,Sunny
63101,Saint Louis,Missouri,2026-08-09,98.8,71.8,Sunny
63101,Saint Louis,Missouri,2026-08-10,100.1,73.3,Sunny
63101,Saint Louis,Missouri,2026-08-11,103.1,71.6,Sunny
